iter	Passed	Remaining
0	2	2219
1	4	2074
2	5	1993
3	7	1971
4	9	1869
5	11	1862
6	12	1812
7	14	1811
8	16	1807
9	18	1811
10	20	1807
11	21	1806
12	23	1802
13	25	1792
14	27	1788
15	28	1758
16	30	1751
17	32	1753
18	34	1756
19	35	1753
20	37	1725
21	38	1721
22	40	1721
23	42	1719
24	44	1717
25	45	1715
26	47	1713
27	49	1711
28	51	1710
29	52	1709
30	54	1708
31	56	1706
32	58	1704
33	59	1703
34	61	1692
35	63	1690
36	64	1690
37	66	1689
38	68	1687
39	69	1675
40	71	1673
41	73	1672
42	75	1671
43	76	1670
44	78	1668
45	79	1657
46	81	1655
47	83	1654
48	85	1653
49	86	1652
50	88	1651
51	90	1650
52	92	1649
53	94	1649
54	95	1647
55	97	1647
56	99	1645
57	101	1644
58	103	1642
59	104	1638
60	106	1636
61	107	1632
62	109	1629
63	111	1630
64	113	1631
65	114	1626
66	116	1627
67	118	1627
68	119	1615
69	121	1614
70	122	1607
71	124	1604
72	126	1603
73	127	1599
74	129	1596
75	131	1594
76	132	1593
77	134	1592
78	136	1591
79	138	1590
80	140	1589
81	141	1587
82	143	1584
83	144	1579
84	146	1578
85	148	1577
86	150	1577
87	152	1576
88	153	1571
89	154	1566
90	156	1565
91	158	1565
92	160	1563
93	162	1562
94	163	1560
95	165	1560
96	167	1558
97	168	1552
98	171	1561
99	174	1567
100	177	1579
101	179	1579
102	180	1575
103	183	1580
104	185	1581
105	187	1580
106	189	1578
107	191	1579
108	193	1579
109	195	1579
110	197	1583
111	201	1593
112	203	1597
113	205	1599
114	207	1598
115	209	1596
116	210	1590
117	212	1586
118	214	1585
119	215	1583
120	217	1581
121	218	1575
122	220	1573
123	222	1571
124	224	1569
125	225	1567
126	227	1566
127	229	1563
128	231	1561
129	232	1556
130	234	1554
131	235	1547
132	236	1544
133	238	1542
134	240	1540
135	242	1538
136	244	1537
137	245	1535
138	247	1533
139	249	1531
140	250	1527
141	252	1525
142	254	1523
143	255	1521
144	257	1519
145	259	1518
146	261	1516
147	263	1514
148	264	1511
149	266	1510
150	268	1508
151	270	1506
152	271	1505
153	273	1504
154	275	1500
155	277	1498
156	278	1496
157	280	1495
158	282	1493
159	284	1491
160	285	1489
161	287	1488
162	289	1486
163	291	1485
164	292	1481
165	294	1479
166	296	1477
167	297	1472
168	298	1469
169	300	1468
170	302	1465
171	304	1464
172	305	1460
173	307	1458
174	308	1456
175	310	1454
176	312	1452
177	314	1450
178	315	1448
179	317	1447
180	319	1445
181	320	1441
182	322	1439
183	324	1437
184	325	1435
185	327	1433
186	329	1431
187	330	1429
188	332	1426
189	334	1424
190	335	1421
191	337	1419
192	339	1417
193	341	1418
194	343	1417
195	345	1416
196	347	1417
197	349	1417
198	351	1415
199	353	1412
200	355	1411
201	357	1410
202	358	1409
203	360	1408
204	362	1407
205	364	1405
206	366	1404
207	368	1402
208	370	1403
209	372	1402
210	374	1401
211	376	1399
212	377	1396
213	379	1392
214	381	1391
215	382	1389
216	384	1388
217	386	1386
218	388	1384
219	389	1382
220	391	1380
221	393	1377
222	394	1376
223	396	1374
224	398	1372
225	399	1369
226	401	1367
227	403	1365
228	405	1363
229	406	1362
230	408	1360
231	410	1358
232	412	1356
233	413	1355
234	415	1353
235	417	1351
236	419	1349
237	421	1347
238	422	1346
239	423	1342
240	425	1340
241	427	1337
242	428	1335
243	429	1331
244	431	1329
245	433	1328
246	435	1326
247	436	1324
248	438	1323
249	440	1321
250	442	1320
251	444	1318
252	445	1316
253	447	1314
254	448	1311
255	450	1309
256	452	1308
257	454	1306
258	455	1303
259	457	1301
260	459	1300
261	460	1298
262	462	1296
263	464	1294
264	466	1293
265	467	1291
266	469	1287
267	470	1286
268	472	1284
269	474	1283
270	475	1280
271	477	1278
272	479	1276
273	481	1275
274	483	1273
275	484	1271
276	486	1269
277	487	1266
278	489	1264
279	491	1262
280	492	1260
281	494	1259
282	496	1257
283	498	1255
284	499	1253
285	501	1252
286	503	1250
287	504	1248
288	506	1246
289	508	1244
290	509	1242
291	512	1242
292	515	1244
293	519	1246
294	521	1245
295	523	1244
296	526	1246
297	528	1244
298	530	1242
299	532	1241
300	534	1241
301	536	1239
302	538	1238
303	540	1237
304	542	1236
305	544	1234
306	546	1232
307	548	1231
308	549	1229
309	551	1227
310	552	1224
311	554	1222
312	556	1220
313	557	1218
314	559	1216
315	561	1214
316	563	1213
317	565	1211
318	566	1210
319	568	1207
320	570	1205
321	571	1203
322	573	1202
323	575	1200
324	577	1198
325	578	1196
326	580	1194
327	582	1192
328	584	1191
329	585	1188
330	587	1186
331	589	1185
332	590	1183
333	592	1180
334	593	1177
335	595	1176
336	597	1174
337	599	1173
338	600	1171
339	602	1169
340	604	1167
341	605	1165
342	607	1163
343	608	1161
344	610	1159
345	612	1157
346	614	1155
347	615	1153
348	617	1152
349	619	1150
350	621	1148
351	622	1146
352	624	1144
353	626	1143
354	628	1141
355	629	1138
356	631	1136
357	632	1134
358	634	1133
359	636	1131
360	638	1129
361	639	1127
362	641	1125
363	643	1124
364	644	1121
365	646	1119
366	647	1117
367	649	1115
368	651	1113
369	653	1112
370	654	1110
371	656	1108
372	658	1107
373	660	1105
374	662	1104
375	664	1102
376	665	1100
377	667	1098
378	669	1096
379	670	1094
380	672	1092
381	674	1090
382	676	1089
383	678	1087
384	680	1086
385	681	1084
386	685	1085
387	688	1085
388	690	1084
389	691	1082
390	693	1080
391	695	1078
392	697	1077
393	699	1076
394	703	1077
395	705	1076
396	708	1075
397	710	1074
398	712	1073
399	715	1072
400	717	1072
401	720	1071
402	722	1071
403	725	1069
404	727	1069
405	730	1068
406	732	1067
407	734	1065
408	736	1064
409	738	1062
410	741	1063
411	743	1061
412	745	1059
413	747	1058
414	749	1056
415	751	1054
416	753	1053
417	755	1051
418	757	1049
419	759	1048
420	760	1046
421	762	1044
422	764	1042
423	766	1041
424	768	1039
425	769	1037
426	771	1035
427	773	1033
428	775	1031
429	777	1030
430	778	1028
431	780	1026
432	782	1024
433	784	1022
434	785	1020
435	787	1018
436	789	1016
437	791	1015
438	792	1013
439	794	1011
440	795	1008
441	796	1005
442	798	1003
443	800	1002
444	801	1000
445	803	998
446	805	996
447	807	994
448	808	992
449	810	990
450	812	988
451	814	986
452	815	985
453	817	983
454	819	981
455	821	979
456	822	977
457	824	975
458	825	973
459	827	971
460	829	969
461	830	967
462	832	965
463	833	963
464	835	960
465	836	958
466	838	956
467	839	954
468	841	952
469	843	950
470	844	948
471	846	946
472	847	944
473	849	942
474	852	941
475	855	941
476	858	940
477	861	940
478	863	938
479	865	937
480	867	935
481	869	934
482	871	932
483	873	931
484	875	929
485	876	927
486	878	925
487	880	924
488	883	923
489	885	922
490	887	920
491	889	917
492	890	915
493	892	913
494	894	912
495	896	910
496	898	909
497	900	907
498	902	905
499	903	903
500	905	902
501	907	900
502	909	898
503	910	896
504	912	894
505	914	892
506	915	890
507	916	887
508	918	885
509	920	884
510	921	882
511	923	880
512	925	878
513	927	876
514	929	874
515	930	873
516	932	871
517	934	869
518	936	867
519	937	865
520	939	863
521	940	861
522	942	859
523	944	857
524	945	855
525	947	853
526	949	852
527	951	850
528	952	848
529	954	846
530	956	844
531	957	842
532	959	840
533	961	838
534	963	837
535	964	835
536	966	833
537	968	831
538	969	829
539	971	827
540	972	825
541	974	823
542	976	821
543	977	819
544	979	817
545	981	816
546	983	814
547	984	812
548	986	810
549	987	808
